ExtractTime,DatabaseDate,PlanID,PlanNumber,PolicyNumber,RiderNumber,SumAssured,CoverageType,BenefitStatus,PremiumStatus,BenefitRiskCessationDate,BenefitPremiumCessationDate
01/11/2023 14:29:30,01/11/2023 06:39:13,129346,Q621474235,621474235,0,0,Main Coverage,Surrendered,Surrendered,14/02/2018,08/12/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,129347,Q621474244,621474244,0,0,Main Coverage,Surrendered,,09/02/2015,01/09/2014
01/11/2023 14:29:30,01/11/2023 06:39:13,130519,Q621481417,621481417,0,0,Main Coverage,Surrendered,Surrendered,01/03/2020,01/02/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,130730,Q621482834,621482834,0,0,Main Coverage,Surrendered,Surrendered,09/03/2015,09/02/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,130731,Q621482843,621482843,0,0,Main Coverage,Surrendered,,01/04/2030,
01/11/2023 14:29:30,01/11/2023 06:39:13,130675,Q621482852,621482852,0,0,,In Force,Premium Paying,01/04/2027,01/04/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,130732,Q621482861,621482861,0,0,Main Coverage,Surrendered,Surrendered,08/10/2034,01/10/2019
01/11/2023 14:29:30,01/11/2023 06:39:13,130734,Q621482899,621482899,0,0,,In Force,Premium Paying,29/11/2038,29/11/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,131415,Q621488341,621488341,0,0,Main Coverage,Surrendered,Surrendered,07/04/2025,07/03/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,132495,Q621492416,621492416,0,0,Main Coverage,Surrendered,Surrendered,30/08/2025,30/07/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,132596,Q621492873,621492873,0,0,Main Coverage,Surrendered,Surrendered,20/04/2025,20/03/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,133366,Q621497786,621497786,0,0,,Surrendered,Surrendered,26/05/2042,26/05/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,133941,Q621500773,621500773,0,0,Main Coverage,Surrendered,Surrendered,14/04/2030,18/03/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,133954,Q621501279,621501279,0,0,Main Coverage,Surrendered,Surrendered,01/06/2015,01/05/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,133955,Q621501288,621501288,0,0,Main Coverage,Surrendered,Surrendered,29/06/2047,30/05/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,135314,Q621505541,621505541,0,0,Main Coverage,Surrendered,Surrendered,23/06/2025,23/05/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,135393,Q621506047,621506047,0,0,Main Coverage,Death,Unknown,,
01/11/2023 14:29:30,01/11/2023 06:39:13,628530,Q621506575,621506575,0,0,,In Force,Premium Paying,26/05/2030,26/05/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,135727,Q621508381,621508381,0,0,Main Coverage,Surrendered,Surrendered,20/05/2030,20/02/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,135924,Q621510005,621510005,0,0,Main Coverage,Surrendered,Surrendered,26/08/2025,26/07/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,135925,Q621510014,621510014,0,0,Main Coverage,Surrendered,Surrendered,24/07/2024,24/06/2024
01/11/2023 14:29:30,01/11/2023 06:39:13,136484,Q621513701,621513701,0,0,,In Force,Premium Paying,01/07/2025,01/07/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,136566,Q621513711,621513711,0,0,Main Coverage,Matured,Matured,22/06/2015,22/05/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,137176,Q621518051,621518051,0,0,,In Force,Premium Paying,06/07/2030,06/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,137177,Q621518061,621518061,0,0,Main Coverage,Surrendered,Surrendered,16/10/2039,06/06/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,137834,Q621520311,621520311,0,0,Main Coverage,Surrendered,Surrendered,01/08/2013,01/07/2013
01/11/2023 14:29:30,01/11/2023 06:39:13,138106,Q621521489,621521489,0,0,Main Coverage,Surrendered,Surrendered,01/08/2030,01/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,138167,Q621522369,621522369,0,0,Main Coverage,Surrendered,Surrendered,01/08/2030,01/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,138192,Q621523151,621523151,0,0,Main Coverage,Surrendered,Surrendered,29/04/2023,29/03/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,138561,Q621524209,621524209,0,0,Main Coverage,Surrendered,Surrendered,06/08/2030,06/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,138869,Q621525959,621525959,0,0,,In Force,Premium Paying,02/09/2030,02/09/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,138870,Q621525968,621525968,0,0,Main Coverage,Surrendered,Surrendered,27/08/2030,27/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,139353,Q621528429,621528429,0,0,Main Coverage,Matured,Matured,27/07/2015,27/04/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,139470,Q621528958,621528958,0,0,,In Force,Premium Paying,19/12/2030,19/12/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,139471,Q621528967,621528967,0,0,Main Coverage,Surrendered,Surrendered,01/09/2030,01/08/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,567707,Q621529622,621529622,0,0,Main Coverage,Matured,Matured,29/07/2015,29/01/2015
01/11/2023 14:29:30,01/11/2023 06:39:13,471165,Q621533636,621533636,0,0,Main Coverage,Surrendered,,,
01/11/2023 14:29:30,01/11/2023 06:39:13,141167,Q621536528,621536528,0,0,Main Coverage,Surrendered,Surrendered,27/10/2025,27/09/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,141491,Q621539394,621539394,0,0,Main Coverage,Surrendered,,26/09/2021,26/08/2021
01/11/2023 14:29:30,01/11/2023 06:39:13,507244,Q690222141,690222141,0,0,,In Force,Premium Paying,16/02/2027,16/02/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,678771,Q690275699,690275699,0,0,,In Force,Premium Paying,24/09/2027,24/09/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,903974,PN900000528,900000532,0,0,Life or Earlier Critical Illness,Lapsed,Lapsed,19/03/2023,19/02/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,741839,PN900000763,900000764,0,940000,Life,Lapsed,Lapsed,04/03/2040,04/02/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,900414,PN900000797,900000798,0,200000,Life or Earlier Critical Illness,Lapsed,Lapsed,01/03/2051,01/02/2051
01/11/2023 14:29:30,01/11/2023 06:39:13,864344,PN900000811,900000812,0,200000,Life,Lapsed,Lapsed,10/05/2037,10/04/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,864344,PN900000811,900000813,0,150000,Life or Earlier Critical Illness,Lapsed,Lapsed,10/05/2037,10/04/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,928246,PN900001035,900001036,0,500000,Life,Lapsed,Lapsed,05/04/2037,05/03/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,878134,PN900001240,900001242,0,350000,Life,Lapsed,Lapsed,04/08/2028,04/07/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,890165,PN900001254,900001259,0,100000,Life,Lapsed,Lapsed,28/04/2030,28/03/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,890166,PN900001261,900001262,0,80000,Life,Lapsed,Lapsed,28/04/2030,28/03/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,890166,PN900001261,900001263,0,80000,Life or Earlier Critical Illness,Lapsed,Lapsed,28/04/2030,28/03/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,643692,PN900001545,900001546,0,190753,Life or Earlier Critical Illness,Cancelled,Cancelled,19/03/2047,19/02/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,643773,PN900002069,900002070,0,402888,Life or Earlier Critical Illness,Cancelled,Cancelled,06/04/2045,06/03/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,643806,PN900002342,900002347,0,225000,Life,Lapsed,Lapsed,07/04/2043,07/03/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,643806,PN900002342,900002348,0,225000,Life or Earlier Critical Illness,Lapsed,Lapsed,07/04/2043,07/03/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,830807,PN900002405,900002407,0,750000,Life or Earlier Critical Illness,Lapsed,Lapsed,27/05/2052,27/04/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,738515,PN900002769,900002771,0,50000,Life,Lapsed,Lapsed,29/04/2028,29/03/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,867376,PN900014878,900014879,0,170000,Life or Earlier Critical Illness,Lapsed,Lapsed,01/06/2029,01/05/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,873453,PN900036833,900036834,0,250000,Life or Earlier Critical Illness,Lapsed,Lapsed,01/06/2050,01/05/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,873700,PN900036855,900036856,0,250000,Life or Earlier Critical Illness,Lapsed,Lapsed,07/06/2048,07/05/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,937087,PN900062872,900062874,0,70000,Life,Lapsed,Lapsed,11/08/2029,11/07/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,855655,PN900070835,900070836,0,502013.68,Life or Earlier Critical Illness,Lapsed,Lapsed,01/07/2027,01/06/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,891618,PN900070838,900068838,0,650000,Life,Lapsed,Lapsed,13/08/2029,13/07/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,891618,PN900070838,900068839,0,200000,Life or Earlier Critical Illness,Lapsed,Lapsed,13/08/2029,13/07/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,885866,PN900070860,900070862,0,500000,Life or Earlier Critical Illness,Lapsed,Lapsed,11/06/2031,11/05/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,882089,PN900136837,900138837,0,250000,Life or Earlier Critical Illness,Lapsed,Lapsed,03/08/2030,03/07/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,892946,PN900146845,900144846,0,500000,Life or Earlier Critical Illness,Lapsed,Lapsed,03/10/2045,03/09/2045
01/11/2023 14:29:30,01/11/2023 06:39:13,893131,PN900154853,900154854,0,350000,Life or Earlier Critical Illness,Lapsed,Lapsed,13/08/2042,13/07/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,870860,PN900164890,900162895,0,348588,Life,Lapsed,Lapsed,09/08/2028,09/07/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,876530,PN900210844,900210846,0,200000,Life,Lapsed,Lapsed,02/09/2035,02/08/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,876530,PN900210844,900210846,1,200000,Total and Permanent Disability,Lapsed,Lapsed,02/09/2035,02/08/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,834970,PN900210855,900210860,0,500000,Life,Lapsed,Lapsed,09/11/2040,09/10/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,590756,PN901924833,901910856,0,100000,Life or Earlier Critical Illness,Lapsed,Lapsed,06/01/2028,06/12/2027
01/11/2023 14:29:30,01/11/2023 06:39:13,876499,PN903844838,903844839,0,235000,Life,Lapsed,Lapsed,24/03/2025,24/02/2025
01/11/2023 14:29:30,01/11/2023 06:39:13,281316,Q500042003,15468030,0,0,Main Coverage,Surrendered,,06/02/2014,
01/11/2023 14:29:30,01/11/2023 06:39:13,280123,Q500042281,15479261,0,0,Main Coverage,Surrendered,,12/12/2031,12/11/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,280541,Q500044981,15532446,0,0,Main Coverage,Surrendered,,25/01/2033,
01/11/2023 14:29:30,01/11/2023 06:39:13,280543,Q500045092,15532605,0,0,Main Coverage,Surrendered,,25/01/2023,
01/11/2023 14:29:30,01/11/2023 06:39:13,280544,Q500045100,15537997,0,0,Main Coverage,Surrendered,,05/02/2020,
01/11/2023 14:29:30,01/11/2023 06:39:13,280545,Q500047741,15543962,0,0,Main Coverage,Surrendered,,30/01/2022,
01/11/2023 14:29:30,01/11/2023 06:39:13,280136,Q500055020,15615950,0,0,Main Coverage,Surrendered,,18/03/2029,18/02/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,280137,Q500055023,15622178,0,0,Main Coverage,Surrendered,,19/03/2027,
01/11/2023 14:29:30,01/11/2023 06:39:13,280163,Q500087327,15899254,0,0,Main Coverage,Surrendered,,01/11/2033,01/10/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,476392,Q500092870,15948908,0,0,Main Coverage,Surrendered,,06/12/2028,
01/11/2023 14:29:30,01/11/2023 06:39:13,280645,Q500097082,16013052,0,0,Main Coverage,Surrendered,,16/02/2029,16/01/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,292332,Q500100398,16032283,0,0,Main Coverage,Surrendered,,02/04/2033,02/03/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,296302,Q500103271,16057881,0,0,Main Coverage,Surrendered,,01/06/2026,
01/11/2023 14:29:30,01/11/2023 06:39:13,362674,Q500206694,16512591,0,0,Main Coverage,Surrendered,,23/06/2035,23/05/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,483757,Q500219302,16653009,0,0,Main Coverage,Surrendered,Unknown,21/12/2035,21/11/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,402525,Q500228107,16753794,1,300000,Additional Life Cover,Lapsed,,22/05/2038,23/04/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,418647,Q500356182,16846174,1,400000,Additional Life Cover,Lapsed,,02/10/2034,03/09/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,438075,Q500367097,16978249,1,400000,Additional Life Cover,Lapsed,,10/01/2024,11/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,438075,Q500367097,16978250,1,400000,Additional Life Cover,Lapsed,,10/01/2024,11/12/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,442827,Q500369623,17008698,1,267589,Additional Life Cover,Lapsed,,07/03/2022,08/02/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,448882,Q500372787,17050367,1,1000000,Additional Life Cover,Lapsed,,07/05/2030,08/04/2030
01/11/2023 14:29:30,01/11/2023 06:39:13,453232,Q500374799,17083025,1,850000,Additional Life Cover,Lapsed,,20/06/2037,21/05/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,460687,Q500379023,17139232,1,400000,Additional Life Cover,Lapsed,,18/06/2037,19/05/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,467271,Q500381343,17160957,1,350000,Additional Life Cover,Lapsed,,08/08/2032,09/07/2032
01/11/2023 14:29:30,01/11/2023 06:39:13,468307,Q500381592,17171370,0,0,Main Coverage,Cancelled,,30/09/2023,30/08/2023
01/11/2023 14:29:30,01/11/2023 06:39:13,469671,Q500382508,17195917,1,700000,Additional Life Cover,Lapsed,,04/08/2036,05/07/2036
01/11/2023 14:29:30,01/11/2023 06:39:13,469994,Q500382717,17205261,0,0,Main Coverage,Cancelled,,08/09/2032,08/08/2032
01/11/2023 14:29:30,01/11/2023 06:39:13,476841,Q500386520,17274737,1,260000,Additional Life Cover,Lapsed,,15/10/2049,16/09/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,484490,Q500390029,17331337,1,200000,Additional Life Cover,Lapsed,,05/02/2043,06/01/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,498634,Q500394303,17385675,1,500000,Additional Life Cover,Lapsed,,17/04/2031,18/03/2031
01/11/2023 14:29:30,01/11/2023 06:39:13,506643,Q500395871,17417401,1,200000,Additional Life Cover,Lapsed,,02/07/2028,03/06/2028
01/11/2023 14:29:30,01/11/2023 06:39:13,512897,Q500398228,17495685,1,500000,Additional Life Cover,Cancelled,,09/09/2033,10/08/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,512897,Q500398228,17495686,1,500000,Additional Life Cover,Cancelled,,09/09/2033,10/08/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,512897,Q500398228,17495687,1,500000,Additional Life Cover,Cancelled,,09/09/2033,10/08/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,854591,Q500046745,15520097,0,0,Main Coverage,Surrendered,Surrendered,24/12/2047,07/12/2017
01/11/2023 14:29:30,01/11/2023 06:39:13,516504,Q500220247,16668348,0,0,Main Coverage,Surrendered,Surrendered,15/07/2044,14/11/2020
01/11/2023 14:29:30,01/11/2023 06:39:13,567392,Q500393452,17382752,0,0,Main Coverage,Surrendered,Surrendered,,
01/11/2023 14:29:30,01/11/2023 06:39:13,571199,PN900008834,900008835,0,325000,Life,Lapsed,Lapsed,13/05/2039,13/04/2039
01/11/2023 14:29:30,01/11/2023 06:39:13,512498,Q004527533,17488171,1,5000000,Additional Life Cover,Lapsed,,07/09/2038,08/08/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,951307,220000122,220000122,0,500000,,In Force,Premium Paying,17/07/2048,17/07/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,951308,220000123,220000123,0,250000,,In Force,Premium Paying,17/07/2048,17/07/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,951308,220000123,220000123,1,250000,,In Force,Premium Paying,17/07/2048,17/07/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,951377,220000201,220000201,0,250000,,In Force,Premium Paying,04/08/2046,04/08/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,951378,220000202,220000202,0,100000,,In Force,Premium Paying,04/08/2046,04/08/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,951378,220000202,220000202,1,100000,,In Force,Premium Paying,04/08/2046,04/08/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,955702,220000239,220000239,0,250000,,In Force,Premium Paying,04/08/2051,04/08/2051
01/11/2023 14:29:30,01/11/2023 06:39:13,955702,220000239,220000239,1,250000,,In Force,Premium Paying,04/08/2051,04/08/2051
01/11/2023 14:29:30,01/11/2023 06:39:13,954945,220000253,220000253,0,125000,,In Force,Premium Paying,28/09/2055,28/09/2055
01/11/2023 14:29:30,01/11/2023 06:39:13,954945,220000253,220000253,1,125000,,In Force,Premium Paying,28/09/2055,28/09/2055
01/11/2023 14:29:30,01/11/2023 06:39:13,955439,220000266,220000266,0,250000,,Withdrawn,,17/07/2048,17/07/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,955439,220000266,220000266,1,250000,,Withdrawn,,17/07/2048,17/07/2048
01/11/2023 14:29:30,01/11/2023 06:39:13,955540,220000287,220000287,0,100000,,Proposal,,20/07/2052,20/07/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,955540,220000287,220000287,1,100000,,Proposal,,20/07/2052,20/07/2052
01/11/2023 14:29:30,01/11/2023 06:39:13,955703,220000303,220000303,0,600000,,In Force,Premium Paying,12/08/2036,12/08/2036
01/11/2023 14:29:30,01/11/2023 06:39:13,955705,220000306,220000306,0,240000,,Proposal,,24/07/2035,24/07/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,955705,220000306,220000306,1,240000,,Proposal,,24/07/2035,24/07/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,955763,220000312,220000312,0,200000,,In Force,Premium Paying,25/07/2050,25/07/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,955763,220000312,220000312,1,200000,,In Force,Premium Paying,25/07/2050,25/07/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,955867,220000327,220000327,0,400000,,Proposal,,28/07/2038,28/07/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,955867,220000327,220000327,1,400000,,Proposal,,28/07/2038,28/07/2038
01/11/2023 14:29:30,01/11/2023 06:39:13,956118,220000341,220000341,0,250000,,In Force,Premium Paying,01/09/2043,01/09/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,956119,220000342,220000342,0,250000,,In Force,Premium Paying,01/09/2043,01/09/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,956119,220000342,220000342,1,250000,,In Force,Premium Paying,01/09/2043,01/09/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,956520,220000369,220000369,0,400000,,In Force,Premium Paying,18/09/2050,18/09/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,956521,220000370,220000370,0,250000,,In Force,Premium Paying,18/09/2050,18/09/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,956521,220000370,220000370,1,250000,,In Force,Premium Paying,18/09/2050,18/09/2050
01/11/2023 14:29:30,01/11/2023 06:39:13,957954,220000500,220000500,0,197726,,Withdrawn,,28/09/2043,28/09/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,957954,220000500,220000500,1,197726,,Withdrawn,,28/09/2043,28/09/2043
01/11/2023 14:29:30,01/11/2023 06:39:13,742887,PN100000223,100000224,0,230000,Life,Lapsed,Lapsed,29/04/2035,29/03/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,742887,PN100000223,100000224,1,230000,Critical Illness,Lapsed,Lapsed,29/04/2035,05/02/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,752557,PN100000598,100000599,0,250000,Life,Lapsed,Lapsed,26/03/2049,26/02/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,752557,PN100000598,100000599,1,250000,Critical Illness,Lapsed,Lapsed,26/03/2049,16/02/2049
01/11/2023 14:29:30,01/11/2023 06:39:13,762458,PN100000905,100000906,0,0,Life,Lapsed,Lapsed,21/06/2022,21/05/2022
01/11/2023 14:29:30,01/11/2023 06:39:13,771965,PN100001216,100001217,0,232016,Life,Lapsed,Lapsed,21/05/2040,21/04/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,771965,PN100001216,100001217,1,238578,Critical Illness,Lapsed,Lapsed,21/05/2040,05/03/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,771965,PN100001216,100002298,0,70240,Life,Lapsed,Lapsed,21/05/2040,21/04/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,780300,PN100001439,100001440,0,200136,Life,Lapsed,Lapsed,28/04/2047,28/03/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,780300,PN100001439,100001441,0,202813,Critical Illness,Lapsed,Lapsed,28/04/2047,28/03/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,800749,PN100001925,100001926,0,100000,Life,Lapsed,Lapsed,31/05/2037,30/04/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,806948,PN100002112,100002113,0,551769.17,Life,Lapsed,Lapsed,24/05/2042,24/04/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,820710,PN100002361,100002362,0,475000,Life,Lapsed,Lapsed,21/06/2046,21/05/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,820710,PN100002361,100002362,1,475000,Critical Illness,Lapsed,Lapsed,21/06/2046,21/04/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,820715,PN100002370,100002371,0,475000,Life,Lapsed,Lapsed,04/08/2047,04/07/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,820715,PN100002370,100002371,1,475000,Critical Illness,Lapsed,Lapsed,04/08/2047,21/04/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,883314,PN100002853,100002855,0,600000,Life,Lapsed,Lapsed,07/08/2046,07/07/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,883314,PN100002853,100002856,0,600000,Life,Lapsed,Lapsed,07/08/2046,07/07/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,883314,PN100002853,100002856,1,600000,Critical Illness,Lapsed,Lapsed,07/08/2046,06/05/2046
01/11/2023 14:29:30,01/11/2023 06:39:13,826876,PN100002974,100002975,0,300000,Life,Lapsed,Lapsed,08/10/2047,08/09/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,826876,PN100002974,100002976,0,300000,Life,Lapsed,Lapsed,08/10/2047,08/09/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,826876,PN100002974,100002976,1,300000,Critical Illness,Lapsed,Lapsed,08/10/2047,11/05/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,827025,PN100003098,100003099,0,600000,Life,Lapsed,Lapsed,26/10/2037,26/09/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,827025,PN100003098,100003099,1,600000,Critical Illness,Lapsed,Lapsed,26/10/2037,14/05/2037
01/11/2023 14:29:30,01/11/2023 06:39:13,828342,PN100003685,100003686,0,657081,Life,Lapsed,Lapsed,16/10/2034,16/09/2034
01/11/2023 14:29:30,01/11/2023 06:39:13,828348,PN100003698,100003700,0,87250,Life,Lapsed,Lapsed,06/08/2029,06/07/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,828348,PN100003698,100003700,1,87250,Critical Illness,Lapsed,Lapsed,06/08/2029,09/06/2029
01/11/2023 14:29:30,01/11/2023 06:39:13,828808,PN100003868,100003869,0,100000,Life,Lapsed,Lapsed,11/09/2047,11/08/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,828808,PN100003868,100003869,1,100000,Critical Illness,Lapsed,Lapsed,11/09/2047,16/06/2047
01/11/2023 14:29:30,01/11/2023 06:39:13,828810,PN100003872,100003873,0,100000,Life,Lapsed,Lapsed,20/08/2054,20/07/2054
01/11/2023 14:29:30,01/11/2023 06:39:13,828810,PN100003872,100003873,1,100000,Critical Illness,Lapsed,Lapsed,20/08/2054,16/06/2054
01/11/2023 14:29:30,01/11/2023 06:39:13,829441,PN100004127,100004128,0,200000,Life,Lapsed,Lapsed,28/09/2040,28/08/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829441,PN100004127,100004129,0,50000,Life,Lapsed,Lapsed,28/09/2040,28/08/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829441,PN100004127,100004129,1,50000,Critical Illness,Lapsed,Lapsed,28/09/2040,26/06/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829444,PN100004134,100004137,0,700000,Life,Lapsed,Lapsed,28/09/2040,28/08/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829444,PN100004134,100004138,0,150000,Life,Lapsed,Lapsed,28/09/2040,28/08/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829444,PN100004134,100004138,1,150000,Critical Illness,Lapsed,Lapsed,28/09/2040,26/06/2040
01/11/2023 14:29:30,01/11/2023 06:39:13,829915,PN100004351,100004352,0,200000,Life,Lapsed,Lapsed,13/09/2033,13/08/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,829915,PN100004351,100004354,0,50000,Life,Lapsed,Lapsed,13/09/2033,13/08/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,829915,PN100004351,100004354,1,50000,Critical Illness,Lapsed,Lapsed,13/09/2033,06/07/2033
01/11/2023 14:29:30,01/11/2023 06:39:13,829916,PN100004355,100004357,0,200000,Life,Lapsed,Lapsed,05/09/2035,05/08/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,829916,PN100004355,100004358,0,50000,Life,Lapsed,Lapsed,05/09/2035,05/08/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,829916,PN100004355,100004358,1,50000,Critical Illness,Lapsed,Lapsed,05/09/2035,06/07/2035
01/11/2023 14:29:30,01/11/2023 06:39:13,830035,PN100004483,100004485,0,475000,Life,Lapsed,Lapsed,01/10/2042,01/09/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,830035,PN100004483,100004486,0,475000,Life,Lapsed,Lapsed,01/10/2042,01/09/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,830035,PN100004483,100004486,1,475000,Critical Illness,Lapsed,Lapsed,01/10/2042,09/07/2042
01/11/2023 14:29:30,01/11/2023 06:39:13,888831,PN100004551,100004552,0,100000,Life,Lapsed,Lapsed,13/09/2054,13/08/2054
01/11/2023 14:29:30,01/11/2023 06:39:13,888831,PN100004551,100004555,0,150000,Life,Lapsed,Lapsed,13/09/2054,13/08/2054
